tradeItemID;globalTradeNumber;descriptionShort;descriptionOfTradeItem;netContent;netContentUOM;tradeItemPrice;tradeItemPriceCurrency;tradeItemPriceUOM;iconId;productCategoryID
6159;;Agar Agar;Kurzbeschreibung;100;g ;1,49;€;2,98;;Verschiedenes/Gelier- und Bindemittel
6158;;Agavensirup;Kurzbeschreibung;200;g ;0,69;€;0,69;;Süssigkeiten/Zucker und Süssstoffe
6160;;Älplermagronen, zubereitet;Kurzbeschreibung;375;ml;0,69;€;0,46;;Gerichte/Sonstige salzige/rezente Gerichte
12914;;Amaretti (Mandelgebäck);Kurzbeschreibung;120;g ;5,99;€;4,99;;Süssigkeiten/Guetzli
6161;;Ananas, gezuckert (Konserve);Kurzbeschreibung;100;g ;0,99;€;0,99;;Früchte/Früchte gekocht (inkl. Konserven)
10730;;Ananas, roh;Kurzbeschreibung;250;ml;0,69;€;0,99;;Früchte/Früchte frisch
1397;;Ananas, ungezuckert (Konserve);Kurzbeschreibung;100;g ;1,49;€;0,75;;Früchte/Früchte gekocht (inkl. Konserven)
5108;;Apfel, gedünstet, abgetropft (ohne Zugabe von Zucker);Kurzbeschreibung;200;g ;0,69;€;1,38;;Früchte/Früchte gekocht (inkl. Konserven)
6162;;Apfel, geschält, getrocknet;Kurzbeschreibung;375;g ;0,79;€;0,79;;Früchte/Früchte getrocknet
6163;;Apfel, roh;Kurzbeschreibung;120;g ;0,69;€;0,69;;Früchte/Früchte frisch
6164;;Apfelkuchen, gebacken (mit Blätterteig);Kurzbeschreibung;100;g ;1,29;€;1,77;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
1251;;Apfelkuchen, gebacken (mit Kuchenteig);Kurzbeschreibung;250;ml;0,69;€;0,69;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
1252;;Apfelmus, gezuckert (Konserve);Kurzbeschreibung;100;ml;0,69;€;1,38;;Früchte/Früchte gekocht (inkl. Konserven)
6165;;Apfelmus, ungezuckert (Konserve);Kurzbeschreibung;200;g ;0,79;€;0,27;;Früchte/Früchte gekocht (inkl. Konserven)
1813;;Apfelsaft;Kurzbeschreibung;375;g ;0,89;€;0,89;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte"
6166;;Apfelwein, 4 vol%;Kurzbeschreibung;120;ml;0,69;€;0,69;;Alkoholhaltige Getränke/Wein
75;;Apfelwein, 6.2 vol%;Kurzbeschreibung;100;g ;2,49;€;1,25;;Alkoholhaltige Getränke/Wein
78;;Appenzeller, viertelfett;Kurzbeschreibung;250;ml;1,99;€;1,66;;Milch und Milchprodukte/Hartkäse
6167;;Appenzeller, vollfett;Kurzbeschreibung;100;g ;1,98;€;3,96;;Milch und Milchprodukte/Hartkäse
6168;;Aprikose, gedünstet, abgetropft (ohne Zugabe von Zucker);Kurzbeschreibung;200;ml;3,49;€;5,24;;Früchte/Früchte gekocht (inkl. Konserven)
6169;;Aprikose, getrocknet;Kurzbeschreibung;375;ml;3,49;€;0,7;;Früchte/Früchte getrocknet
6170;;Aprikose, gezuckert (Konserve);Kurzbeschreibung;120;ml;2,49;€;1,25;;Früchte/Früchte gekocht (inkl. Konserven)
6171;;Aprikose, roh;Kurzbeschreibung;100;g ;0,98;€;0,98;;Früchte/Früchte frisch
6172;;Aprikose, ungezuckert (Konserve);Kurzbeschreibung;250;g ;0,98;€;0,98;;Früchte/Früchte gekocht (inkl. Konserven)
6173;;Aprikosenkuchen, gebacken (mit Blätterteig);Kurzbeschreibung;100;g ;0,98;€;0,49;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
6174;;Aprikosenkuchen, gebacken (mit Kuchenteig);Kurzbeschreibung;200;g ;7,99;€;6,66;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
6175;;Aubergine, gedünstet (ohne Zugabe von Fett und Salz);Kurzbeschreibung;375;g ;1,39;€;2,78;;Gemüse/Gemüse gekocht (inkl. Konserven)
6176;;Aubergine, roh;Kurzbeschreibung;120;ml;1,49;€;2,24;;Gemüse/Gemüse frisch
6177;;Auberginen-Piccata, zubereitet;Kurzbeschreibung;100;g ;0,77;€;0,15;;Gerichte/Sonstige salzige/rezente Gerichte
6178;;Auberginenscheiben, paniert, zubereitet;Kurzbeschreibung;250;g ;0,39;€;0,2;;Gerichte/Sonstige salzige/rezente Gerichte
6056;;Aufschnitt (Durchschnitt);Kurzbeschreibung;100;g ;1,1;€;1,1;;Fleisch- und Wurstwaren/Brühwurstware
6057;;Avocado, roh;Kurzbeschreibung;200;g ;1,49;€;1,49;;"Gemüse/Gemüse frisch;Nüsse, Samen und Ölfrüchte"
5109;;Bäckerhefe, gepresst;Kurzbeschreibung;375;g ;0,69;€;0,35;;"Verschiedenes/Hefe;Verschiedenes/Backzutaten"
5110;;Bami Goreng, zubereitet;Kurzbeschreibung;120;g ;0,69;€;0,58;;Gerichte/Asiatische Gerichte
5111;;Banane, gedörrt;Kurzbeschreibung;100;g ;5,99;€;11,98;;Früchte/Früchte getrocknet
6058;;Banane, getrocknet;Kurzbeschreibung;250;g ;0,99;€;1,49;;Früchte/Früchte getrocknet
12505;;Banane, roh;Kurzbeschreibung;100;g ;0,69;€;0,14;;Früchte/Früchte frisch
2115;;Basilikum, roh;Kurzbeschreibung;200;g ;1,49;€;0,75;;Gemüse/Kräuter
1814;;Basler Leckerli;Kurzbeschreibung;375;g ;0,69;€;0,69;;Süssigkeiten/Guetzli
6059;;Bauernbratwurst, gebraten (ohne Zusatz von Fett un Salz);Kurzbeschreibung;120;g ;0,79;€;0,79;;Fleisch- und Wurstwaren/Rohwurstware
6060;;Bauernbratwurst, roh;Kurzbeschreibung;100;g ;0,69;€;0,35;;Fleisch- und Wurstwaren/Rohwurstware
6179;;Bauernbrot;Kurzbeschreibung;250;g ;1,29;€;1,08;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
6181;;Bauernsalami;Kurzbeschreibung;100;ml;0,69;€;1,38;;Fleisch- und Wurstwaren/Rohwurstware
